Título,Semilla,URL_adicionales,Estado,Tipo de recolección,Frecuencia ,Profundidad,Tamaño,Palabras_clave,Materia
"CEIP Camposoto (San Fernando, Cádiz)",http://ceipcamposoto.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
CEIP Cándido Nogales (Jaén),http://ceipcandidonogales.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
"CEIP Nuestra Señora de los Remedios (Canena, Jaén)",http://ceipcanena.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
"CEIP Carlos III (Santa Elena, Jaén)",http://ceipcarlosiii.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
"CEIP Carlos III (La Carlota, Córdoba)",http://ceipcarlostercero.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Cervantes (Dos Hermanas, Sevilla)",http://ceipcervantesdoshermanas.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP César Barrios (Lepe, Huelva)",http://ceipcesarbarrioslepe.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
"CEIP Cristo de la Expiración (Galera, Granada)",http://ceipcristodelaexpiraciongalera.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Cristo de la Fe (Diezma, Granada)",http://ceipcristodelafediezma.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
CEIP Cronista Rey Díaz (Córdoba),http://ceipcronista.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Custodio Puga (Torre del Mar, Málaga)",http://ceipcustodiopuga29008462.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
CEIP Nuestra Señora de la Luz (Málaga),http://ceipdelaluz.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP Santa Teresa de Jesús (Siles, Jaén)",http://ceipdesiles.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
"CEIP Doctor Fléming (Jódar, Jaén)",http://ceipdoctorflemingjodar.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
"CEIP Doctor Jiménez Rueda (Atarfe, Granada)",http://ceipdrjimenezrueda.es,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Duques de Alba (Gelves, Sevilla)",http://ceipduquesdealba.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Nuestra Señora del Carmen (Dúrcal, Granada)",http://ceipdurcaleras.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP El Albero (Las Lagunas, Málaga)",http://ceipelalberomijas.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP El Castillo (Morón de la Frontera, Sevilla)",http://ceipelcastillo.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP El Castillo (Chiclana de la Frontera, Cádiz)",http://ceipelcastillochiclana.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP García del Olmo (Mijas, Málaga)",http://ceipelolmo.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP El Puntal (Bédar, Almería)",http://ceipelpuntal.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
CEIP El Torcal (Málaga),http://ceipeltorcal.es,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP El Valle - Joaquín Muñoz Ruiz (El Valle, Granada)",http://ceipelvalle.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
CEIP Fernán Pérez de Oliva (Córdoba),http://ceipfernanperezdeoliva.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Francisco Ayala (Ogíjares, Granada)",http://ceipfranciscoayala.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Francisco Ayala (Castril, Granada)",http://ceipfranciscoayalafatima.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Fuente Nueva (San Pedro de Alcántara, Málaga)",http://ceipfuentenueva.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP Antonio Garvayo Dinelli (Motril, Granada)",http://ceipgarvayodinelli.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Genil (Santaella, Córdoba)",http://ceipgenillamontiela.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Francisco Giner de los Ríos (Mairena del Aljarafe, Sevilla)",http://ceipginer.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Ntra. Sra. de Guadalupe (Los Barrios, Cádiz)",http://ceipguadalupepalmones.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Doctor Guirao Gea (Veléz-Rubio, Almería)",http://ceipguiraogea.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
